cycle number	time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.000000000000000E+000	1.349492837412981E+000	1.0000186E+006	1.9944748E+002	3.7964005E+001	2.0302847E+002	-1.0777093E+001
1.000000000000000E+000	1.783481284655863E+000	7.9433269E+005	1.9122588E+002	3.2796692E+001	1.9401793E+002	-9.7319784E+000
1.000000000000000E+000	2.217499385325937E+000	6.3095681E+005	1.9011452E+002	2.8247902E+001	1.9220164E+002	-8.4513826E+000
1.000000000000000E+000	2.511498332576593E+000	5.0120622E+005	1.9061287E+002	2.6379370E+001	1.9242957E+002	-7.8792515E+000
1.000000000000000E+000	2.945491606515134E+000	3.9810347E+005	1.9246559E+002	2.5549320E+001	1.9415399E+002	-7.5616598E+000
1.000000000000000E+000	3.379485707177082E+000	3.1622997E+005	1.9564111E+002	2.5591316E+001	1.9730779E+002	-7.4524021E+000
1.000000000000000E+000	3.813487941079075E+000	2.5118766E+005	1.9818326E+002	2.5585201E+001	1.9982794E+002	-7.3561239E+000
1.000000000000000E+000	4.247488708380843E+000	1.9954350E+005	2.0685252E+002	2.7755615E+001	2.0870634E+002	-7.6423407E+000
1.000000000000000E+000	4.682483849028358E+000	1.5848613E+005	2.1480669E+002	2.9018702E+001	2.1675792E+002	-7.6936345E+000
1.000000000000000E+000	5.116487336315913E+000	1.2590930E+005	2.1859921E+002	3.1349878E+001	2.2083575E+002	-8.1612883E+000
1.000000000000000E+000	5.550485196959926E+000	1.0000371E+005	2.2336925E+002	3.4377110E+001	2.2599913E+002	-8.7493219E+000
1.000000000000000E+000	5.984479910897790E+000	7.9433273E+004	2.3724997E+002	3.7497086E+001	2.4019489E+002	-8.9812412E+000
1.000000000000000E+000	6.419490731525002E+000	6.3093824E+004	2.4790576E+002	4.0385639E+001	2.5117378E+002	-9.2526169E+000
1.000000000000000E+000	6.854488778888481E+000	5.0122477E+004	2.5557475E+002	4.4310028E+001	2.5938742E+002	-9.8358288E+000
1.000000000000000E+000	7.288479652808746E+000	3.9814059E+004	2.6302567E+002	4.7448498E+001	2.6727115E+002	-1.0225889E+001
1.000000000000000E+000	7.722494820103748E+000	3.1621139E+004	2.7059265E+002	5.1101089E+001	2.7537558E+002	-1.0694291E+001
1.000000000000000E+000	8.016488700726768E+000	2.5116910E+004	2.8064148E+002	5.5514427E+001	2.8607953E+002	-1.1189375E+001
