cycle number	time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
2.000000000000000E+000	1.396372895278328E+002	1.2590930E+005	1.6974020E+003	1.5836945E+003	2.3214783E+003	-4.3015190E+001
2.000000000000000E+000	1.400712883217784E+002	1.0000371E+005	1.9522775E+003	1.7145256E+003	2.5982659E+003	-4.1290192E+001
2.000000000000000E+000	1.405052797557146E+002	7.9433273E+004	2.1681704E+003	1.7748101E+003	2.8019482E+003	-3.9302895E+001
2.000000000000000E+000	1.409392904697161E+002	6.3093824E+004	2.4250212E+003	2.0509250E+003	3.1760071E+003	-4.0222366E+001
2.000000000000000E+000	1.413742797436717E+002	5.0122477E+004	2.7022166E+003	2.1797319E+003	3.4717727E+003	-3.8891239E+001
2.000000000000000E+000	1.418082957376319E+002	3.9814059E+004	2.9469910E+003	2.3583535E+003	3.7744651E+003	-3.8668827E+001
2.000000000000000E+000	1.421022852715978E+002	3.1621139E+004	3.2283743E+003	2.6612668E+003	4.1838667E+003	-3.9500004E+001
2.000000000000000E+000	1.425362776922120E+002	2.5116910E+004	3.6040391E+003	2.8890920E+003	4.6190854E+003	-3.8716576E+001
2.000000000000000E+000	1.430012782476551E+002	1.9948785E+004	3.9198499E+003	3.1297957E+003	5.0160586E+003	-3.8605541E+001
2.000000000000000E+000	1.432952944482386E+002	1.5847683E+004	4.2749531E+003	3.4890625E+003	5.5180415E+003	-3.9220085E+001
2.000000000000000E+000	1.437302870555723E+002	1.2590930E+004	4.6756348E+003	3.8450203E+003	6.0535728E+003	-3.9432255E+001
2.000000000000000E+000	1.440252758696151E+002	1.0002226E+004	5.1320610E+003	4.2923853E+003	6.6904873E+003	-3.9908646E+001
2.000000000000000E+000	1.443597952455166E+002	7.9439990E+003	5.7007363E+003	4.8024980E+003	7.4540181E+003	-4.0111950E+001
2.000000000000000E+000	1.447563565442979E+002	6.3077339E+003	6.3067500E+003	5.2389365E+003	8.1988750E+003	-3.9715981E+001
2.000000000000000E+000	1.452254685399894E+002	5.0116040E+003	6.9626953E+003	5.7670200E+003	9.0408877E+003	-3.9634071E+001
2.000000000000000E+000	1.456934656822195E+002	3.9812744E+003	6.9223398E+003	6.7056782E+003	9.6376816E+003	-4.4089176E+001
2.000000000000000E+000	1.461604849044015E+002	3.1610117E+003	8.5078525E+003	7.3237896E+003	1.1225928E+004	-4.0722759E+001
2.000000000000000E+000	1.466274627132443E+002	2.5108032E+003	9.7079326E+003	8.3951660E+003	1.2834437E+004	-4.0852394E+001
2.000000000000000E+000	1.470944784954263E+002	1.9956388E+003	1.0536308E+004	9.4581172E+003	1.4158734E+004	-4.1913342E+001
2.000000000000000E+000	1.475615095042740E+002	1.5855074E+003	1.1349110E+004	1.0391144E+004	1.5387598E+004	-4.2476940E+001
2.000000000000000E+000	1.480297568865062E+002	1.2587913E+003	1.2549018E+004	1.1549185E+004	1.7054662E+004	-4.2624165E+001
2.000000000000000E+000	1.484954712553081E+002	1.0003202E+003	1.4471959E+004	1.3398740E+004	1.9722166E+004	-4.2794796E+001
3.000000000000000E+000	2.698660934888467E+002	1.0000186E+006	5.3702710E+002	9.2871539E+002	1.0728049E+003	-5.9961472E+001
3.000000000000000E+000	2.703000939094636E+002	7.9433269E+005	6.1605487E+002	8.9932880E+002	1.0900990E+003	-5.5588223E+001
3.000000000000000E+000	2.707340773967153E+002	6.3095681E+005	7.3434271E+002	9.2757819E+002	1.1830725E+003	-5.1632137E+001
3.000000000000000E+000	2.711680728840001E+002	5.0120622E+005	8.2711255E+002	1.0075502E+003	1.3035615E+003	-5.0616932E+001
3.000000000000000E+000	2.716020879446587E+002	3.9810347E+005	9.5248529E+002	1.0978479E+003	1.4534436E+003	-4.9055317E+001
3.000000000000000E+000	2.720370771652961E+002	3.1622997E+005	1.1032421E+003	1.2136937E+003	1.6401815E+003	-4.7729309E+001
3.000000000000000E+000	2.724710926525586E+002	2.5118766E+005	1.2534739E+003	1.3109720E+003	1.8137928E+003	-4.6284431E+001
3.000000000000000E+000	2.729050682198431E+002	1.9954350E+005	1.4412682E+003	1.4783491E+003	2.0646477E+003	-4.5727654E+001
3.000000000000000E+000	2.733390885338013E+002	1.5848613E+005	1.6589038E+003	1.5995863E+003	2.3044822E+003	-4.3957104E+001
3.000000000000000E+000	2.737730754610675E+002	1.2590930E+005	1.8677401E+003	1.7114799E+003	2.5333015E+003	-4.2500191E+001
3.000000000000000E+000	2.742070842283720E+002	1.0000371E+005	2.0878892E+003	1.8888175E+003	2.8154773E+003	-4.2134201E+001
3.000000000000000E+000	2.746410923289659E+002	7.9433273E+004	2.3483984E+003	2.0088219E+003	3.0903625E+003	-4.0543705E+001
3.000000000000000E+000	2.750760780296114E+002	6.3093824E+004	2.6486682E+003	2.2014788E+003	3.4441184E+003	-3.9732155E+001
3.000000000000000E+000	2.755100757035834E+002	5.0122477E+004	2.9026243E+003	2.3935815E+003	3.7622415E+003	-3.9509903E+001
3.000000000000000E+000	2.759440877508896E+002	3.9814059E+004	3.1588457E+003	2.5615762E+003	4.0669373E+003	-3.9039345E+001
3.000000000000000E+000	2.762380770181480E+002	3.1621139E+004	3.4812903E+003	2.8535623E+003	4.5013555E+003	-3.9340969E+001
3.000000000000000E+000	2.769830819602066E+002	2.5116910E+004	3.8858149E+003	3.1289851E+003	4.9889985E+003	-3.8842152E+001
3.000000000000000E+000	2.774170841141895E+002	1.9948785E+004	4.2339199E+003	3.4155149E+003	5.4398364E+003	-3.8893215E+001
3.000000000000000E+000	2.778510931480851E+002	1.5847683E+004	4.7214751E+003	3.8024519E+003	6.0622578E+003	-3.8846317E+001
3.000000000000000E+000	2.781450865220686E+002	1.2590930E+004	5.0795962E+003	4.1921045E+003	6.5860488E+003	-3.9532276E+001
3.000000000000000E+000	2.785790795560170E+002	1.0002226E+004	5.5783633E+003	4.6053950E+003	7.2337959E+003	-3.9542458E+001
3.000000000000000E+000	2.789135953852674E+002	7.9439990E+003	6.2233657E+003	5.1876387E+003	8.1019673E+003	-3.9813721E+001
3.000000000000000E+000	2.793101589507714E+002	6.3077339E+003	6.9372339E+003	5.8791162E+003	9.0933613E+003	-4.0280365E+001
3.000000000000000E+000	2.797792699064084E+002	5.0116040E+003	7.7188857E+003	6.1713516E+003	9.8826504E+003	-3.8642799E+001
3.000000000000000E+000	2.802462961952624E+002	3.9812744E+003	7.9117021E+003	7.7881230E+003	1.1101797E+004	-4.4549015E+001
3.000000000000000E+000	2.807142997108240E+002	3.1610117E+003	9.4093584E+003	8.0208311E+003	1.2364051E+004	-4.0445309E+001
3.000000000000000E+000	2.811813005063377E+002	2.5108032E+003	9.8628076E+003	9.2825557E+003	1.3544032E+004	-4.3264030E+001
