time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
6.213490764965827E+002	3.000000000000000E+000	4.6415716E+005	7.1201637E+001	1.8177489E+000	7.1224838E+001	-1.4624203E+000
6.217830729705456E+002	3.000000000000000E+000	3.1622997E+005	7.2230125E+001	3.3561926E+000	7.2308060E+001	-2.6603506E+000
6.222180637911952E+002	3.000000000000000E+000	2.1544686E+005	7.3237679E+001	4.8716249E+000	7.3399529E+001	-3.8055954E+000
6.226520817585115E+002	3.000000000000000E+000	1.4677664E+005	7.4318642E+001	6.5699635E+000	7.4608475E+001	-5.0519648E+000
6.230860686324595E+002	3.000000000000000E+000	1.0000371E+005	7.5643227E+001	8.5808201E+000	7.6128365E+001	-6.4718561E+000
6.235210705464415E+002	3.000000000000000E+000	6.8132047E+004	7.7107613E+001	1.0909349E+001	7.7875526E+001	-8.0528812E+000
6.239550656603824E+002	3.000000000000000E+000	4.6420355E+004	7.8869698E+001	1.3849480E+001	8.0076447E+001	-9.9595699E+000
6.243890725610254E+002	3.000000000000000E+000	3.1621139E+004	8.0861893E+001	1.7697577E+001	8.2775902E+001	-1.2345198E+001
6.248240661816380E+002	3.000000000000000E+000	2.1544684E+004	8.3231514E+001	2.3054024E+001	8.6365349E+001	-1.5482024E+001
6.252580713222560E+002	3.000000000000000E+000	1.4678594E+004	8.6016197E+001	3.0178770E+001	9.1156700E+001	-1.9333414E+001
6.255520814162155E+002	3.000000000000000E+000	1.0002226E+004	8.9413788E+001	4.0190163E+001	9.8030991E+001	-2.4203205E+001
6.259290849808312E+002	3.000000000000000E+000	6.8110674E+003	9.3597389E+001	5.4080353E+001	1.0809790E+002	-3.0019220E+001
6.263992725498611E+002	3.000000000000000E+000	4.6414854E+003	9.9070717E+001	7.3413467E+001	1.2330671E+002	-3.6539219E+001
6.268662623587079E+002	3.000000000000000E+000	3.1610117E+003	1.0574022E+002	1.0024378E+002	1.4570453E+002	-4.3471493E+001
6.273332860075607E+002	3.000000000000000E+000	2.1556899E+003	1.1430140E+002	1.3732318E+002	1.7866859E+002	-5.0227585E+001
6.278015490431280E+002	3.000000000000000E+000	1.4685898E+003	1.2486805E+002	1.8980876E+002	2.2719902E+002	-5.6660587E+001
6.282672829585863E+002	3.000000000000000E+000	1.0003202E+003	1.3862802E+002	2.6442801E+002	2.9856305E+002	-6.2333946E+001
9.299788562878093E+002	4.000000000000000E+000	1.0000186E+006	7.3382477E+001	-1.4679357E+000	7.3397156E+001	1.1459862E+000
9.304128612150962E+002	4.000000000000000E+000	6.8129269E+005	6.9911835E+001	-5.8181036E-001	6.9914253E+001	4.7680783E-001
9.308468540890317E+002	4.000000000000000E+000	4.6415716E+005	7.0862328E+001	1.2974576E+000	7.0874207E+001	-1.0489429E+000
9.312818765096890E+002	4.000000000000000E+000	3.1622997E+005	7.1893379E+001	3.0459197E+000	7.1957870E+001	-2.4260097E+000
9.317158770903188E+002	4.000000000000000E+000	2.1544686E+005	7.2843391E+001	4.7448769E+000	7.2997765E+001	-3.7268705E+000
9.321498654042662E+002	4.000000000000000E+000	1.4677664E+005	7.3847466E+001	6.4387169E+000	7.4127625E+001	-4.9829841E+000
9.325838644115429E+002	4.000000000000000E+000	1.0000371E+005	7.5175774E+001	8.4546785E+000	7.5649712E+001	-6.4168329E+000
9.330178586721595E+002	4.000000000000000E+000	6.8132047E+004	7.6664246E+001	1.0915229E+001	7.7437386E+001	-8.1031437E+000
9.334518561060831E+002	4.000000000000000E+000	4.6420355E+004	7.8320244E+001	1.3826311E+001	7.9531296E+001	-1.0011592E+001
