time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
6.223230696362152E+002	3.000000000000000E+000	4.6415716E+005	5.7546402E+001	-4.3078022E+000	5.7707413E+001	4.2810569E+000
6.227570738434733E+002	3.000000000000000E+000	3.1622997E+005	5.7393692E+001	-1.1738182E+000	5.7405693E+001	1.1716523E+000
6.231910711441014E+002	3.000000000000000E+000	2.1544686E+005	5.7640549E+001	1.6159073E+000	5.7663193E+001	-1.6058215E+000
6.236250767646998E+002	3.000000000000000E+000	1.4677664E+005	5.8158806E+001	4.4111857E+000	5.8325855E+001	-4.3374228E+000
6.240590636919660E+002	3.000000000000000E+000	1.0000371E+005	5.8975258E+001	7.3675170E+000	5.9433670E+001	-7.1208172E+000
6.244930605392728E+002	3.000000000000000E+000	6.8132047E+004	5.9980877E+001	1.0753314E+001	6.0937176E+001	-1.0163957E+001
6.249270797865756E+002	3.000000000000000E+000	4.6420355E+004	6.1175777E+001	1.5043603E+001	6.2998299E+001	-1.3815360E+001
6.253610758871946E+002	3.000000000000000E+000	3.1621139E+004	6.2695148E+001	2.0706795E+001	6.6026154E+001	-1.8277225E+001
6.257950703611423E+002	3.000000000000000E+000	2.1544684E+004	6.4235992E+001	2.8614702E+001	7.0321152E+001	-2.4011162E+001
6.262290653950477E+002	3.000000000000000E+000	1.4678594E+004	6.6176071E+001	3.9674774E+001	7.7158020E+001	-3.0944099E+001
6.265230832490197E+002	3.000000000000000E+000	1.0002226E+004	6.8539856E+001	5.5589943E+001	8.8249382E+001	-3.9044132E+001
6.269001115869323E+002	3.000000000000000E+000	6.8110674E+003	7.1798515E+001	7.8567421E+001	1.0643245E+002	-4.7577499E+001
6.273702576093201E+002	3.000000000000000E+000	4.6414854E+003	7.6369637E+001	1.1109251E+002	1.3481049E+002	-5.5493740E+001
6.278372656581632E+002	3.000000000000000E+000	3.1610117E+003	8.2642448E+001	1.5767107E+002	1.7801668E+002	-6.2338959E+001
6.283032930669651E+002	3.000000000000000E+000	2.1556899E+003	9.1761894E+001	2.2294102E+002	2.4108701E+002	-6.7628075E+001
6.287715231691836E+002	3.000000000000000E+000	1.4685898E+003	1.0403908E+002	3.1782330E+002	3.3441858E+002	-7.1874207E+001
6.294922623501043E+002	3.000000000000000E+000	1.0003202E+003	1.2208986E+002	4.5002203E+002	4.6628937E+002	-7.4821159E+001
9.313598531000607E+002	4.000000000000000E+000	1.0000186E+006	6.0882286E+001	-1.0180323E+001	6.1727562E+001	9.4927883E+000
9.317938569606922E+002	4.000000000000000E+000	6.8129269E+005	5.6787548E+001	-7.9182887E+000	5.7336941E+001	7.9379740E+000
9.322288532213133E+002	4.000000000000000E+000	4.6415716E+005	5.6268074E+001	-4.4453101E+000	5.6443398E+001	4.5171189E+000
9.326628752152610E+002	4.000000000000000E+000	3.1622997E+005	5.6142246E+001	-1.2962941E+000	5.6157211E+001	1.3226935E+000
9.330968655558827E+002	4.000000000000000E+000	2.1544686E+005	5.6297924E+001	1.5363111E+000	5.6318882E+001	-1.5631536E+000
9.335308658698632E+002	4.000000000000000E+000	1.4677664E+005	5.6783470E+001	4.3088856E+000	5.6946720E+001	-4.3394446E+000
9.339648751438071E+002	4.000000000000000E+000	1.0000371E+005	5.7619808E+001	7.2725110E+000	5.8076946E+001	-7.1935759E+000
9.343988610310771E+002	4.000000000000000E+000	6.8132047E+004	5.8610851E+001	1.0615144E+001	5.9564362E+001	-1.0265690E+001
9.348338573717338E+002	4.000000000000000E+000	4.6420355E+004	5.9875092E+001	1.4822068E+001	6.1682415E+001	-1.3904040E+001
9.352678765390010E+002	4.000000000000000E+000	3.1621139E+004	6.1167118E+001	2.0462130E+001	6.4498955E+001	-1.8496546E+001
9.357018694396538E+002	4.000000000000000E+000	2.1544684E+004	6.2811085E+001	2.8295609E+001	6.8890305E+001	-2.4250969E+001
9.361358743669407E+002	4.000000000000000E+000	1.4678594E+004	6.4694572E+001	3.9396824E+001	7.5746269E+001	-3.1340012E+001
9.364308597942872E+002	4.000000000000000E+000	1.0002226E+004	6.7078537E+001	5.5170383E+001	8.6852180E+001	-3.9436424E+001
9.368078833854815E+002	4.000000000000000E+000	6.8110674E+003	7.0110519E+001	7.8146828E+001	1.0498767E+002	-4.8102692E+001
9.372780920745499E+002	4.000000000000000E+000	4.6414854E+003	7.4823578E+001	1.1035023E+002	1.3332570E+002	-5.5860554E+001
9.377450492967328E+002	4.000000000000000E+000	3.1610117E+003	8.1160301E+001	1.5644135E+002	1.7624100E+002	-6.2580139E+001
9.382120538789095E+002	4.000000000000000E+000	2.1556899E+003	9.0269783E+001	2.2200691E+002	2.3965747E+002	-6.7872948E+001
9.386803204077878E+002	4.000000000000000E+000	1.4685898E+003	1.0268871E+002	3.1587030E+002	3.3214307E+002	-7.1990776E+001
9.394000888686714E+002	4.000000000000000E+000	1.0003202E+003	1.2137121E+002	4.4665640E+002	4.6285303E+002	-7.4797928E+001
1.241267647378641E+003	5.000000000000000E+000	1.0000186E+006	6.0737144E+001	-1.0382164E+001	6.1618099E+001	9.7001591E+000
1.241701663079235E+003	5.000000000000000E+000	6.8129269E+005	5.5661354E+001	-7.7572527E+000	5.6199299E+001	7.9339323E+000
1.242135662966553E+003	5.000000000000000E+000	4.6415716E+005	5.5189827E+001	-4.4605551E+000	5.5369789E+001	4.6207185E+000
1.242569654427149E+003	5.000000000000000E+000	3.1622997E+005	5.5117149E+001	-1.3170332E+000	5.5132881E+001	1.3688314E+000
1.243004670474475E+003	5.000000000000000E+000	2.1544686E+005	5.5337612E+001	1.4733049E+000	5.5357220E+001	-1.5250788E+000
1.243438662095083E+003	5.000000000000000E+000	1.4677664E+005	5.5810364E+001	4.1964712E+000	5.5967911E+001	-4.3000703E+000
1.243872666595707E+003	5.000000000000000E+000	1.0000371E+005	5.6597408E+001	7.1342273E+000	5.7045280E+001	-7.1843667E+000
1.244306661202951E+003	5.000000000000000E+000	6.8132047E+004	5.7612896E+001	1.0501411E+001	5.8562149E+001	-1.0330201E+001
1.244741663516994E+003	5.000000000000000E+000	4.6420355E+004	5.8774628E+001	1.4634721E+001	6.0569233E+001	-1.3982157E+001
1.245176657164324E+003	5.000000000000000E+000	3.1621139E+004	6.0136570E+001	2.0217638E+001	6.3444149E+001	-1.8582407E+001
1.245610663291562E+003	5.000000000000000E+000	2.1544684E+004	6.1666000E+001	2.8109211E+001	6.7770370E+001	-2.4504921E+001
1.246045651765569E+003	5.000000000000000E+000	1.4678594E+004	6.3544662E+001	3.9095707E+001	7.4608299E+001	-3.1601814E+001
1.246339665859559E+003	5.000000000000000E+000	1.0002226E+004	6.6026558E+001	5.4784386E+001	8.5795311E+001	-3.9683601E+001
1.246716693424125E+003	5.000000000000000E+000	6.8110674E+003	6.9143013E+001	7.7354584E+001	1.0375205E+002	-4.8208221E+001
1.247186867073164E+003	5.000000000000000E+000	4.6414854E+003	7.3244278E+001	1.0976099E+002	1.3195529E+002	-5.6284538E+001
1.247653874988675E+003	5.000000000000000E+000	3.1610117E+003	7.9612000E+001	1.5577475E+002	1.7493954E+002	-6.2929729E+001
1.248120878157526E+003	5.000000000000000E+000	2.1556899E+003	8.8896378E+001	2.2129903E+002	2.3848653E+002	-6.8114548E+001
1.248589116739749E+003	5.000000000000000E+000	1.4685898E+003	1.0148221E+002	3.1416492E+002	3.3014880E+002	-7.2098396E+001
1.249309850507336E+003	5.000000000000000E+000	1.0003202E+003	1.1942467E+002	4.4453433E+002	4.6029666E+002	-7.4962479E+001
1.551177462723950E+003	6.000000000000000E+000	1.0000186E+006	5.9776470E+001	-1.0598160E+001	6.0708710E+001	1.0053866E+001
1.551611458397907E+003	6.000000000000000E+000	6.8129269E+005	5.4746792E+001	-7.9395900E+000	5.5319511E+001	8.2517252E+000
1.552046450765250E+003	6.000000000000000E+000	4.6415716E+005	5.4401321E+001	-4.4217029E+000	5.4580723E+001	4.6467476E+000
1.552480448892544E+003	6.000000000000000E+000	3.1622997E+005	5.4338303E+001	-1.3768849E+000	5.4355743E+001	1.4515142E+000
1.552915450779867E+003	6.000000000000000E+000	2.1544686E+005	5.4554855E+001	1.4227748E+000	5.4573406E+001	-1.4939187E+000
1.553350449547201E+003	6.000000000000000E+000	1.4677664E+005	5.5000053E+001	4.1503553E+000	5.5156425E+001	-4.3154144E+000
1.553784463727759E+003	6.000000000000000E+000	1.0000371E+005	5.5772335E+001	7.0287066E+000	5.6213486E+001	-7.1828318E+000
1.554219455028448E+003	6.000000000000000E+000	6.8132047E+004	5.6741356E+001	1.0398637E+001	5.7686333E+001	-1.0385004E+001
1.554653456275730E+003	6.000000000000000E+000	4.6420355E+004	5.7931065E+001	1.4536166E+001	5.9726948E+001	-1.4085940E+001
1.555088444989728E+003	6.000000000000000E+000	3.1621139E+004	5.9228523E+001	2.0171532E+001	6.2569229E+001	-1.8807367E+001
1.555522441703681E+003	6.000000000000000E+000	2.1544684E+004	6.0778637E+001	2.7934925E+001	6.6890976E+001	-2.4684340E+001
1.555957462071005E+003	6.000000000000000E+000	1.4678594E+004	6.2629246E+001	3.8951214E+001	7.3753777E+001	-3.1878857E+001
1.556251459818304E+003	6.000000000000000E+000	1.0002226E+004	6.4986046E+001	5.4621262E+001	8.4892097E+001	-4.0047306E+001
1.556629479169584E+003	6.000000000000000E+000	6.8110674E+003	6.8031921E+001	7.7156067E+001	1.0286594E+002	-4.8595947E+001
1.557099657885301E+003	6.000000000000000E+000	4.6414854E+003	7.2285240E+001	1.0935448E+002	1.3108607E+002	-5.6534595E+001
1.557566662787482E+003	6.000000000000000E+000	3.1610117E+003	7.8664742E+001	1.5546245E+002	1.7423178E+002	-6.3160370E+001
1.558033666009665E+003	6.000000000000000E+000	2.1556899E+003	8.7566002E+001	2.1979634E+002	2.3659720E+002	-6.8277855E+001
