time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
5.516540774009918E+002	3.000000000000000E+000	4.6415716E+005	1.5582449E+002	5.2085304E+000	1.5591151E+002	-1.9144343E+000
5.520880836349825E+002	3.000000000000000E+000	3.1622997E+005	1.5393359E+002	6.9129663E+000	1.5408875E+002	-2.5713544E+000
5.525220859489200E+002	3.000000000000000E+000	2.1544686E+005	1.5357523E+002	9.8710051E+000	1.5389212E+002	-3.6776116E+000
5.529560776495055E+002	3.000000000000000E+000	1.4677664E+005	1.5451471E+002	1.3843672E+001	1.5513362E+002	-5.1197186E+000
5.533910687635216E+002	3.000000000000000E+000	1.0000371E+005	1.5609004E+002	1.9004948E+001	1.5724277E+002	-6.9419532E+000
5.538250704907841E+002	3.000000000000000E+000	6.8132047E+004	1.5889140E+002	2.5503166E+001	1.6092511E+002	-9.1185932E+000
5.542600844581175E+002	3.000000000000000E+000	4.6420355E+004	1.6258228E+002	3.3714146E+001	1.6604108E+002	-1.1715197E+001
5.546950778654573E+002	3.000000000000000E+000	3.1621139E+004	1.6723396E+002	4.4599319E+001	1.7307887E+002	-1.4932568E+001
5.551300680727727E+002	3.000000000000000E+000	2.1544684E+004	1.7329845E+002	5.8885017E+001	1.8302950E+002	-1.8767229E+001
5.554250817134307E+002	3.000000000000000E+000	1.4678594E+004	1.8096884E+002	7.8494499E+001	1.9725899E+002	-2.3448593E+001
5.558590792540490E+002	3.000000000000000E+000	1.0002226E+004	1.9097806E+002	1.0441068E+002	2.1765617E+002	-2.8666117E+001
5.562370975386730E+002	3.000000000000000E+000	6.8110674E+003	2.0445689E+002	1.4013556E+002	2.4787213E+002	-3.4426891E+001
5.567072775344059E+002	3.000000000000000E+000	4.6414854E+003	2.2167184E+002	1.8786441E+002	2.9057089E+002	-4.0280903E+001
5.571742874232514E+002	3.000000000000000E+000	3.1610117E+003	2.4590547E+002	2.5127135E+002	3.5157758E+002	-4.5618351E+001
5.578962617242141E+002	3.000000000000000E+000	2.1556899E+003	2.7202463E+002	3.3455280E+002	4.3118787E+002	-5.0885468E+001
5.583645411864418E+002	3.000000000000000E+000	1.4685898E+003	3.1080353E+002	4.5235309E+002	5.4883710E+002	-5.5507755E+001
5.588302777685749E+002	3.000000000000000E+000	1.0003202E+003	3.5295090E+002	6.1255750E+002	7.0696606E+002	-6.0049786E+001
8.602548635641724E+002	4.000000000000000E+000	1.0000186E+006	1.7525537E+002	1.0145672E+001	1.7554880E+002	-3.3132000E+000
8.606888549981086E+002	4.000000000000000E+000	6.8129269E+005	1.5794662E+002	5.0431924E+000	1.5802711E+002	-1.8288172E+000
8.611228666987299E+002	4.000000000000000E+000	4.6415716E+005	1.5375301E+002	4.7656031E+000	1.5382684E+002	-1.7753249E+000
8.615568626926542E+002	4.000000000000000E+000	3.1622997E+005	1.5186322E+002	6.4344440E+000	1.5199947E+002	-2.4261708E+000
8.619918636999937E+002	4.000000000000000E+000	2.1544686E+005	1.5157362E+002	9.4778013E+000	1.5186966E+002	-3.5780101E+000
8.624258686805988E+002	4.000000000000000E+000	1.4677664E+005	1.5243109E+002	1.3433569E+001	1.5302188E+002	-5.0363965E+000
8.628608734212612E+002	4.000000000000000E+000	1.0000371E+005	1.5395753E+002	1.8340895E+001	1.5504616E+002	-6.7936039E+000
8.632948633085616E+002	4.000000000000000E+000	6.8132047E+004	1.5683006E+002	2.4735888E+001	1.5876880E+002	-8.9630899E+000
8.637298557025642E+002	4.000000000000000E+000	4.6420355E+004	1.6052980E+002	3.2872272E+001	1.6386093E+002	-1.1572679E+001
8.641648792698543E+002	4.000000000000000E+000	3.1621139E+004	1.6499832E+002	4.3187424E+001	1.7055673E+002	-1.4667808E+001
8.645988675571425E+002	4.000000000000000E+000	2.1544684E+004	1.7094122E+002	5.7002075E+001	1.8019472E+002	-1.8441484E+001
8.648938615445077E+002	4.000000000000000E+000	1.4678594E+004	1.7834554E+002	7.5936943E+001	1.9383897E+002	-2.3063602E+001
8.653288761518343E+002	4.000000000000000E+000	1.0002226E+004	1.8829350E+002	1.0135648E+002	2.1384007E+002	-2.8293129E+001
8.657059055030841E+002	4.000000000000000E+000	6.8110674E+003	2.0146547E+002	1.3584207E+002	2.4298438E+002	-3.3990597E+001
8.661760660854561E+002	4.000000000000000E+000	4.6414854E+003	2.1942017E+002	1.8227570E+002	2.8525363E+002	-3.9716930E+001
8.666430895209705E+002	4.000000000000000E+000	3.1610117E+003	2.4085451E+002	2.4308646E+002	3.4220157E+002	-4.5264248E+001
8.673650489152642E+002	4.000000000000000E+000	2.1556899E+003	2.7053293E+002	3.2591983E+002	4.2357031E+002	-5.0305298E+001
8.678333144841454E+002	4.000000000000000E+000	1.4685898E+003	3.0704269E+002	4.3751138E+002	5.3450110E+002	-5.4939068E+001
8.682990922129611E+002	4.000000000000000E+000	1.0003202E+003	3.4287387E+002	5.8759546E+002	6.8031677E+002	-5.9735569E+001
