time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
6.219410813513969E+002	3.000000000000000E+000	4.6415716E+005	4.4157753E+001	-4.8545790E+000	4.4423801E+001	6.2737422E+000
6.223760745720647E+002	3.000000000000000E+000	3.1622997E+005	4.4041378E+001	-2.3384442E+000	4.4103416E+001	3.0393529E+000
6.228110847526987E+002	3.000000000000000E+000	2.1544686E+005	4.4109825E+001	-2.6958331E-001	4.4110649E+001	3.5016674E-001
6.232460768533929E+002	3.000000000000000E+000	1.4677664E+005	4.4414902E+001	1.6009641E+000	4.4443745E+001	-2.0643699E+000
6.236800765806402E+002	3.000000000000000E+000	1.0000371E+005	4.4973671E+001	3.3770087E+000	4.5100281E+001	-4.2941995E+000
6.241140700946271E+002	3.000000000000000E+000	6.8132047E+004	4.5770695E+001	5.2503877E+000	4.6070847E+001	-6.5438356E+000
6.245490704085969E+002	3.000000000000000E+000	4.6420355E+004	4.6741253E+001	7.3039689E+000	4.7308483E+001	-8.8814354E+000
6.249840849092870E+002	3.000000000000000E+000	3.1621139E+004	4.7936447E+001	9.9209051E+000	4.8952297E+001	-1.1692830E+001
6.254190818099014E+002	3.000000000000000E+000	2.1544684E+004	4.9619781E+001	1.3087757E+001	5.1316780E+001	-1.4775869E+001
6.258540767372760E+002	3.000000000000000E+000	1.4678594E+004	5.1678001E+001	1.7188137E+001	5.4461433E+001	-1.8397160E+001
6.262880725978466E+002	3.000000000000000E+000	1.0002226E+004	5.4374218E+001	2.2408285E+001	5.8810600E+001	-2.2397161E+001
6.266660898424743E+002	3.000000000000000E+000	6.8110674E+003	5.7705872E+001	2.9342722E+001	6.4737648E+001	-2.6952774E+001
6.271362674915363E+002	3.000000000000000E+000	4.6414854E+003	6.1182892E+001	3.8305283E+001	7.2184769E+001	-3.2049793E+001
6.276032906603868E+002	3.000000000000000E+000	3.1610117E+003	6.5201897E+001	5.0438732E+001	8.2433929E+001	-3.7724735E+001
6.280712750826133E+002	3.000000000000000E+000	2.1556899E+003	6.9640907E+001	6.7643967E+001	9.7085335E+001	-4.4166637E+001
6.285395368381578E+002	3.000000000000000E+000	1.4685898E+003	7.4857292E+001	9.2669067E+001	1.1912670E+002	-5.1069016E+001
6.290052609669729E+002	3.000000000000000E+000	1.0003202E+003	8.1659180E+001	1.2760907E+002	1.5150015E+002	-5.7384140E+001
9.314148694227042E+002	4.000000000000000E+000	1.0000186E+006	4.4642418E+001	-9.4889965E+000	4.5639748E+001	1.1999948E+001
9.318488673899847E+002	4.000000000000000E+000	6.8129269E+005	4.1221706E+001	-7.5250101E+000	4.1902924E+001	1.0345412E+001
